molecule_chembl_id,canonical_smiles,bao_format,assay_type,activity_comment,pchembl_value,potential_duplicate
CHEMBL1541722,Cc1onc(-c2ccccc2Cl)c1C(=O)N1C=CC(C(F)(F)F)=NCC1,BAO_0000019,F,Active,5.19,0
CHEMBL1512568,O=C(NCCC1=CCCCC1)c1c(O)nc2sccn2c1=O,BAO_0000019,F,Active,5.65,0
CHEMBL1525362,c1ccc(C2Nc3ccccc3C3OCCCC23)cc1,BAO_0000019,F,Active,6.05,0
CHEMBL1331770,Cc1cccc(C(=O)NNC(=O)c2c(O)c3ccccc3n(C)c2=O)c1,BAO_0000019,F,Active,6.19,0
CHEMBL1549127,CCOC(=O)c1ccc2c(c1)nc(COc1ccc(OC)cc1)n2CC,BAO_0000019,F,Active,5.01,0
CHEMBL1532568,O=C(Nc1cccc(Br)c1)c1cc2ccccc2o1,BAO_0000019,F,Active,5.47,0
CHEMBL1411435,O=C(NC(=S)NNC(=O)c1ccccc1O)c1ccc(F)cc1,BAO_0000019,F,Active,5.74,0
CHEMBL1994635,Oc1c(/C=N/c2ccccn2)sc2ccccc12,BAO_0000019,F,Active,5.42,0
CHEMBL1529733,Cn1c(=O)c(C(=O)Nc2ncccn2)c(O)c2ccccc21,BAO_0000019,F,Active,5.5,0
CHEMBL1363164,COc1cc(CNCCc2ccccc2)ccc1OCc1ccc(Cl)nc1.Cl,BAO_0000019,F,Active,5.31,0
CHEMBL1580883,COc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1,BAO_0000019,F,Active,5.08,0
CHEMBL1451060,O=C(NNC(=S)NC(=O)c1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1,BAO_0000019,F,inactive,,0
CHEMBL1388722,O=c1cc(-c2ccccc2Cl)oc2ccc([N+](=O)[O-])c(O)c12,BAO_0000019,F,Active,5.72,0
CHEMBL1559889,CC(C)NC(=O)c1c(O)nc2ccccc2c1O,BAO_0000019,F,Active,5.92,0
CHEMBL1444685,CN(CC(=O)N1CCc2ccccc2C1)c1ccccc1,BAO_0000019,F,Active,5.65,0
CHEMBL2000196,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1ccccc1C,BAO_0000019,F,Active,5.34,0
CHEMBL1490692,O=C(Nc1cccc(Cl)c1)c1cc(N=Nc2ccc([N+](=O)[O-])cc2Cl)ccc1O,BAO_0000019,F,Active,6.25,0
CHEMBL2001888,CCC1Nc2ncnc(N3CCN(c4ccccn4)CC3)c2N(Cc2ccc(Br)cc2)C1=O.O=C(O)C(F)(F)F,BAO_0000019,F,Active,5.48,0
CHEMBL1256359,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.Cl,BAO_0000019,F,Active,5.37,0
CHEMBL1596325,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2cccs2)cc1,BAO_0000019,F,Active,5.53,0
CHEMBL1716490,O=C(NCCCCc1ccccc1)c1ccccc1Br,BAO_0000019,F,Active,5.68,0
CHEMBL601543,CCN1/C(=C/C=C/c2oc3ccc(-c4ccccc4)cc3[n+]2CC)Oc2ccc(-c3ccccc3)cc21.CCOS(=O)(=O)[O-],BAO_0000019,F,Active,5.05,0
CHEMBL1530042,CC1CC(=O)c2cnc(Nc3cccc(C(F)(F)F)c3)nc2C1,BAO_0000019,F,Active,5.56,0
CHEMBL1707377,O=C(NCCCc1ccccc1)c1c(O)nc2sccn2c1=O,BAO_0000019,F,Active,5.62,0
CHEMBL1727095,Cc1csc2nc(O)c(C(=O)NCCC3=CCCCC3)c(=O)n12,BAO_0000019,F,Active,5.63,0
CHEMBL1518625,Br.CCCCCCCCn1c2c(c(=N)c3ccccc31)CCC2,BAO_0000019,F,Active,5.06,0
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,BAO_0000219,B,,4.92,0
CHEMBL3781001,CC(C)c1cc(Cl)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cccc(C(C)O)c1,BAO_0000219,B,,6.68,0
CHEMBL3781583,CC(C)c1cc(Cl)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cccc(C(C)(C)O)c1,BAO_0000219,B,,6.58,0
CHEMBL3780602,C=C1C(=O)C[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,BAO_0000219,B,,5.59,0
CHEMBL3904593,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2C(O)CC4)CCC3)c1,BAO_0000357,B,,6.63,0
CHEMBL3929254,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4O)CCC3)c1,BAO_0000357,B,,5.71,0
CHEMBL3956814,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@H]4O)CCC3)c1,BAO_0000357,B,,5.91,0
CHEMBL3906283,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@@H]4O)CCC3)c1,BAO_0000357,B,,5.2,0
CHEMBL3920126,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC(O)C4)CCC3)c1,BAO_0000357,B,,5.74,0
CHEMBL4126946,O=C1CO[C@H](CO)[C@@H](O)C1,BAO_0000019,B,,,0
CHEMBL4127699,O=C1C=C[C@@H](CO)OC1,BAO_0000019,B,,4.38,0
CHEMBL4128176,CC(=O)OC[C@@H]1C=CC(=O)CO1,BAO_0000019,B,,5.37,0
CHEMBL4128029,CCCC(=O)OC[C@@H]1C=CC(=O)CO1,BAO_0000019,B,,5.44,0
CHEMBL4129407,CCCCCCCC(=O)OC[C@@H]1C=CC(=O)CO1,BAO_0000019,B,,5.29,0
CHEMBL4126909,CC(=O)OC[C@@H]1C=C(F)C(=O)CO1,BAO_0000019,B,,5.43,0
CHEMBL4125713,O=C1C(F)=C[C@@H]2CO[C@H]1O2,BAO_0000019,B,,5.32,0
CHEMBL4129636,CC(=O)OC1=C(F)C(C(C)=O)[C@@H]2CO[C@H]1O2,BAO_0000019,B,,5.43,0
CHEMBL4126941,O=C1C=C[C@H]2CO[C@@H]1O2,BAO_0000019,B,,5.18,0
CHEMBL3183703,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,BAO_0000357,B,,8.1,0
CHEMBL3183703,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,BAO_0000357,B,,8.3,0
CHEMBL4204644,[2H]C([2H])([2H])C(O)(c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1)C([2H])([2H])[2H],BAO_0000357,B,,8.3,0
CHEMBL4209503,[2H]C1([2H])CCc2cc3c(c(NC(=O)NS(=O)(=O)c4cc(C(C)(C)O)co4)c21)C([2H])([2H])CC3,BAO_0000357,B,,8.22,0
CHEMBL4216836,[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1([2H])[2H],BAO_0000357,B,,8.15,0
CHEMBL4212407,[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1,BAO_0000357,B,,8.22,0
CHEMBL4228510,COc1ccc(C/C(=N\O)c2nc3ccc(OC)cc3o2)cc1,BAO_0000219,B,,5.91,0
CHEMBL4228911,COc1ccc(C/C(=N\O)c2nc3ccc(Cl)cc3o2)cc1,BAO_0000219,B,,5.24,0
